attackName(TM/HM),pokemonName
Toxic,Bulbasaur
Venoshock,Bulbasaur
Hidden Power,Bulbasaur
Sunny Day,Bulbasaur
Light Screen,Bulbasaur
Protect,Bulbasaur
Safeguard,Bulbasaur
Frustration,Bulbasaur
Solar Beam,Bulbasaur
Return,Bulbasaur
Double Team,Bulbasaur
Sludge Bomb,Bulbasaur
Facade,Bulbasaur
Rest,Bulbasaur
Attract,Bulbasaur
Round,Bulbasaur
Echoed Voice,Bulbasaur
Energy Ball,Bulbasaur
Flash,Bulbasaur
Swords Dance,Bulbasaur
Grass Knot,Bulbasaur
Swagger,Bulbasaur
Sleep Talk,Bulbasaur
Substitute,Bulbasaur
Rock SmashXY,Bulbasaur
Secret PowerORAS,Bulbasaur
Nature Power,Bulbasaur
Confide,Bulbasaur
Cut,Bulbasaur
Strength,Bulbasaur
Rock SmashORAS,Bulbasaur
Strength,Bulbasaur
Rock SmashORAS,Bulbasaur
Toxic,Ivysaur
Venoshock,Ivysaur
Hidden Power,Ivysaur
Sunny Day,Ivysaur
Light Screen,Ivysaur
Protect,Ivysaur
Safeguard,Ivysaur
Frustration,Ivysaur
Solar Beam,Ivysaur
Return,Ivysaur
Double Team,Ivysaur
Sludge Bomb,Ivysaur
Facade,Ivysaur
Rest,Ivysaur
Attract,Ivysaur
Round,Ivysaur
Echoed Voice,Ivysaur
Energy Ball,Ivysaur
Flash,Ivysaur
Swords Dance,Ivysaur
Grass Knot,Ivysaur
Swagger,Ivysaur
Sleep Talk,Ivysaur
Substitute,Ivysaur
Rock SmashXY,Ivysaur
Secret PowerORAS,Ivysaur
Nature Power,Ivysaur
Confide,Ivysaur
Cut,Ivysaur
Strength,Ivysaur
Rock SmashORAS,Ivysaur
Roar,Venusaur?
Toxic,Venusaur?
Venoshock,Venusaur?
Hidden Power,Venusaur?
Sunny Day,Venusaur?
Hyper Beam,Venusaur?
Light Screen,Venusaur?
Protect,Venusaur?
Safeguard,Venusaur?
Frustration,Venusaur?
Solar Beam,Venusaur?
Earthquake,Venusaur?
Return,Venusaur?
Double Team,Venusaur?
Sludge Bomb,Venusaur?
Facade,Venusaur?
Rest,Venusaur?
Attract,Venusaur?
Round,Venusaur?
Echoed Voice,Venusaur?
Energy Ball,Venusaur?
Giga Impact,Venusaur?
Flash,Venusaur?
Swords Dance,Venusaur?
Bulldoze,Venusaur?
Grass Knot,Venusaur?
Swagger,Venusaur?
Sleep Talk,Venusaur?
Substitute,Venusaur?
Rock SmashXY,Venusaur?
Secret PowerORAS,Venusaur?
Nature Power,Venusaur?
Confide,Venusaur?
Cut,Venusaur?
Strength,Venusaur?
Rock SmashORAS,Venusaur?
Hone Claws,Charmander?
Dragon Claw,Charmander?
Toxic,Charmander?
Hidden Power,Charmander?
Sunny Day,Charmander?
Protect,Charmander?
Frustration,Charmander?
Return,Charmander?
Dig,Charmander?
Brick Break,Charmander?
Double Team,Charmander?
Flamethrower,Charmander?
Fire Blast,Charmander?
Rock Tomb,Charmander?
Aerial Ace,Charmander?
Facade,Charmander?
Flame Charge,Charmander?
Rest,Charmander?
Attract,Charmander?
Round,Charmander?
Echoed Voice,Charmander?
Overheat,Charmander?
Fling,Charmander?
Incinerate,Charmander?
Will-O-Wisp,Charmander?
Shadow Claw,Charmander?
Swords Dance,Charmander?
Rock Slide,Charmander?
Swagger,Charmander?
Sleep Talk,Charmander?
Substitute,Charmander?
Rock SmashXY,Charmander?
Secret PowerORAS,Charmander?
Power-Up Punch,Charmander?
Confide,Charmander?
Cut,Charmander?
Strength,Charmander?
Rock SmashORAS,Charmander?
Hone Claws,Charmeleon
Dragon Claw,Charmeleon
Toxic,Charmeleon
Hidden Power,Charmeleon
Sunny Day,Charmeleon
Protect,Charmeleon
Frustration,Charmeleon
Return,Charmeleon
Dig,Charmeleon
Brick Break,Charmeleon
Double Team,Charmeleon
Flamethrower,Charmeleon
Fire Blast,Charmeleon
Rock Tomb,Charmeleon
Aerial Ace,Charmeleon
Facade,Charmeleon
Flame Charge,Charmeleon
Rest,Charmeleon
Attract,Charmeleon
Round,Charmeleon
Echoed Voice,Charmeleon
Overheat,Charmeleon
Fling,Charmeleon
Incinerate,Charmeleon
Will-O-Wisp,Charmeleon
Shadow Claw,Charmeleon
Swords Dance,Charmeleon
Rock Slide,Charmeleon
Swagger,Charmeleon
Sleep Talk,Charmeleon
Substitute,Charmeleon
Rock SmashXY,Charmeleon
Secret PowerORAS,Charmeleon
Power-Up Punch,Charmeleon
Confide,Charmeleon
Cut,Charmeleon
Strength,Charmeleon
Rock SmashORAS,Charmeleon
Hone Claws,Charizard
Dragon Claw,Charizard
Roar,Charizard
Toxic,Charizard
Hidden Power,Charizard
Sunny Day,Charizard
Hyper Beam,Charizard
Protect,Charizard
Roost,Charizard
Frustration,Charizard
Solar Beam,Charizard
Earthquake,Charizard
Return,Charizard
Dig,Charizard
Brick Break,Charizard
Double Team,Charizard
Flamethrower,Charizard
Fire Blast,Charizard
Rock Tomb,Charizard
Aerial Ace,Charizard
Facade,Charizard
Flame Charge,Charizard
Rest,Charizard
Attract,Charizard
Round,Charizard
Echoed Voice,Charizard
Overheat,Charizard
Steel Wing,Charizard
Focus Blast,Charizard
Fling,Charizard
Sky Drop,Charizard
Incinerate,Charizard
Will-O-Wisp,Charizard
Shadow Claw,Charizard
Giga Impact,Charizard
Swords Dance,Charizard
Bulldoze,Charizard
Rock Slide,Charizard
